recipeName,batchYield,unit,ingredientName,qty,ingredientUnit,gramsMl,uom,vendor
CHILLA BATTER 570g,570.0,GRM,Organic Byadagi Chilly Powder-100Gms,0.25,tsp,9.0,GRM,FACTORY
CHILLA BATTER 570g,570.0,GRM,Organic Coriander Powder-100Gms,0.25,tsp,8.0,GRM,FACTORY
CHILLA BATTER 570g,570.0,GRM,Organic Cumin Powder-100Gms,0.25,tsp,8.0,GRM,FACTORY
CHILLA BATTER 570g,570.0,GRM,Organic Turmeric Powder-100Gms,0.25,tsp,11.0,GRM,FACTORY
CHILLA BATTER 570g,570.0,GRM,knorr aromat seasoning powder 100g,0.25,tsp,0.5,GRM,SAI FOODS
chilli oil 102g yield,102.0,GRM,Organic Extra Virgin Olive Oil-1ltr,100.0,GM,100.0,GRM,FACTORY
chilli oil 102g yield,102.0,GRM,Spice chilli (kashmiri) Powder 100g,10.0,GM,10.0,GRM,SAI FOODS
CHOP MASALA 170G yield,170.0,GRM,Organic Groundnut Oil-1ltr,4.0,TBSP,48.0,GRM,FACTORY
CHOP MASALA 170G yield,170.0,GRM,Organic Cumin Whole-100Gms,0.5,TSP,2.0,GRM,FACTORY
CHOP MASALA 170G yield,170.0,GRM,ONION,100.0,GM,100.0,GRM,AD VEGETABLES
CHOP MASALA 170G yield,170.0,GRM,TOMATO,100.0,GM,100.0,GRM,AD VEGETABLES
CHOP MASALA 170G yield,170.0,GRM,Organic Ginger Garlic Paste 150Gms,1.0,TBSP,12.0,GRM,FACTORY
CHOP MASALA 170G yield,170.0,GRM,Organic Byadagi Chilly Powder-100Gms,1.0,TSP,4.0,GRM,FACTORY
CHOP MASALA 170G yield,170.0,GRM,Organic Coriander Powder-100Gms,0.5,TSP,2.0,GRM,FACTORY
CHOP MASALA 170G yield,170.0,GRM,Organic Turmeric Powder-100Gms,0.5,TSP,2.0,GRM,FACTORY
CHOP MASALA 170G yield,170.0,GRM,Organic Cumin Powder-100Gms,0.5,TSP,2.0,GRM,FACTORY
CHOP MASALA 170G yield,170.0,GRM,Organic Cinnamon Bark-50Gms,3.0,PC,3.0,PC,FACTORY
CHOP MASALA 170G yield,170.0,GRM,whole Farm CLOVE,2.0,PC,2.0,PC,ONLINE
CHOP MASALA 170G yield,170.0,GRM,Whole Farm BAY LEAF,1.0,PC,1.0,PC,SAI FOODS
Classic Hummus 730 g yield,730.0,GRM,Organic Kabuli Chana-500Gms,140.0,GM,140.0,GRM,FACTORY
Classic Hummus 730 g yield,730.0,GRM,CELERY,12.0,GM,12.0,GRM,AD VEGETABLES
Classic Hummus 730 g yield,730.0,GRM,neo sliced jalapeno 680g,30.0,GM,30.0,GRM,SAI FOODS
Classic Hummus 730 g yield,730.0,GRM,CORIANDER,35.0,GM,35.0,GRM,AD VEGETABLES
Classic Hummus 730 g yield,730.0,GRM,MINT,10.0,GM,10.0,GRM,AD VEGETABLES
Classic Hummus 730 g yield,730.0,GRM,GREEN CHILLI,7.0,GM,7.0,GRM,AD VEGETABLES
Classic Hummus 730 g yield,730.0,GRM,LEMON JUICE,18.0,GM,18.0,GRM,AD VEGETABLES
Classic Hummus 730 g yield,730.0,GRM,Organic Cumin Whole-100Gms,1.5,TSP,6.0,GRM,FACTORY
Classic Hummus 730 g yield,730.0,GRM,Natural Himalaya Pink Salt-500Gms Pouch,7.0,GM,7.0,GRM,FACTORY
Classic Hummus 730 g yield,730.0,GRM,al bayan tahina paste,30.0,GM,20.0,GRM,SAI FOODS
